user_id,member_level,total_spent,order_frequency,repurchase_probability,是否从未下单
U003112,金牌会员,21810.36,0.0,0.102594,否(有单未支付)
U001245,普通会员,18736.44,0.0,0.106336,否(有单未支付)
U003588,铜牌会员,17696.84,0.0,0.098441,否(有单未支付)
U000117,银牌会员,7242.52,0.0,0.185644,否(有单未支付)
U001134,钻石会员,5371.98,0.0,0.086393,否(有单未支付)
U001344,银牌会员,4525.35,0.0,0.095285,否(有单未支付)
U000945,普通会员,3745.18,0.0,0.093144,否(有单未支付)
U000009,铜牌会员,3518.64,0.0,0.093702,否(有单未支付)
U004345,银牌会员,3200.84,0.0,0.076796,否(有单未支付)
U000767,铜牌会员,3061.81,0.0,0.063467,否(有单未支付)
U001712,普通会员,3046.83,0.0,0.079069,否(有单未支付)
U002128,铜牌会员,2999.45,0.0,0.071637,否(有单未支付)
U000661,银牌会员,2739.48,0.0,0.070827,否(有单未支付)
U000751,普通会员,2679.24,0.0,0.093771,否(有单未支付)
U003987,铜牌会员,2565.62,0.0,0.092346,否(有单未支付)
U003401,铜牌会员,2467.28,0.0,0.065639,否(有单未支付)
U000138,铜牌会员,2423.33,0.0,0.059064,否(有单未支付)
U004696,铜牌会员,2383.71,0.0,0.064876,否(有单未支付)
U001810,铜牌会员,2383.57,0.0,0.079208,否(有单未支付)
U000663,金牌会员,2264.44,0.0,0.066632,否(有单未支付)
U003600,银牌会员,2252.66,0.0,0.063187,否(有单未支付)
U003372,银牌会员,2057.58,0.0,0.089331,否(有单未支付)
U001880,银牌会员,1877.94,0.0,0.107626,否(有单未支付)
U000832,金牌会员,1867.18,0.0,0.081342,否(有单未支付)
U003353,铜牌会员,1804.4,0.0,0.100168,否(有单未支付)
U001918,银牌会员,1662.73,0.0,0.081138,否(有单未支付)
U004314,金牌会员,1599.63,0.0,0.080098,否(有单未支付)
U000988,金牌会员,1578.52,0.0,0.092414,否(有单未支付)
U001819,银牌会员,1576.22,0.0,0.064224,否(有单未支付)
U002188,普通会员,1525.91,0.0,0.085953,否(有单未支付)
U003285,铜牌会员,1481.38,0.0,0.063797,否(有单未支付)
U003998,普通会员,1457.96,0.0,0.068515,否(有单未支付)
U004578,铜牌会员,1442.66,0.0,0.065153,否(有单未支付)
U004519,普通会员,1385.22,0.0,0.072823,否(有单未支付)
U000006,铜牌会员,1121.78,0.0,0.062918,否(有单未支付)
U001890,铜牌会员,953.05,0.0,0.076617,否(有单未支付)
U001300,钻石会员,926.44,0.0,0.072844,否(有单未支付)
U002934,铜牌会员,907.15,0.0,0.059226,否(有单未支付)
U002656,金牌会员,905.73,0.0,0.066696,否(有单未支付)
U002309,金牌会员,861.53,0.0,0.072554,否(有单未支付)
U001756,普通会员,718.98,0.0,0.060527,否(有单未支付)
U001664,金牌会员,602.02,0.0,0.066915,否(有单未支付)
U003441,金牌会员,591.73,0.0,0.058863,否(有单未支付)
U004999,普通会员,574.79,0.0,0.053669,否(有单未支付)
U002029,普通会员,565.8,0.0,0.054231,否(有单未支付)
U003375,钻石会员,414.95,0.0,0.062034,否(有单未支付)
U001516,银牌会员,340.37,0.0,0.06095,否(有单未支付)
U004796,金牌会员,314.99,0.0,0.056043,否(有单未支付)
U004299,铜牌会员,231.38,0.0,0.059429,否(有单未支付)
U001200,铜牌会员,195.85,0.0,0.055576,否(有单未支付)
U003352,铜牌会员,195.68,0.0,0.052096,否(有单未支付)
U004975,普通会员,175.79,0.0,0.060448,否(有单未支付)
U001950,普通会员,104.92,0.0,0.050218,否(有单未支付)
U004346,钻石会员,76.84,0.0,0.053868,否(有单未支付)
U000157,铜牌会员,0.0,0.0,0.059918,是(从未下单)
U000172,铜牌会员,0.0,0.0,0.050079,是(从未下单)
U000217,普通会员,0.0,0.0,0.056189,是(从未下单)
U000297,铜牌会员,0.0,0.0,0.048687,是(从未下单)
U000314,金牌会员,0.0,0.0,0.05686,是(从未下单)
U000355,铜牌会员,0.0,0.0,0.050495,是(从未下单)
U000376,铜牌会员,0.0,0.0,0.056678,是(从未下单)
U000391,铜牌会员,0.0,0.0,0.054196,是(从未下单)
U000487,普通会员,0.0,0.0,0.056075,是(从未下单)
U000528,钻石会员,0.0,0.0,0.057347,是(从未下单)
U000540,铜牌会员,0.0,0.0,0.052125,是(从未下单)
U000548,银牌会员,0.0,0.0,0.053253,是(从未下单)
U000560,铜牌会员,0.0,0.0,0.049907,是(从未下单)
U000572,金牌会员,0.0,0.0,0.054773,是(从未下单)
U000635,金牌会员,0.0,0.0,0.052024,是(从未下单)
U000677,普通会员,0.0,0.0,0.059097,是(从未下单)
U000711,金牌会员,0.0,0.0,0.050549,是(从未下单)
U000771,铜牌会员,0.0,0.0,0.057895,是(从未下单)
U000792,银牌会员,0.0,0.0,0.05327,是(从未下单)
U000852,银牌会员,0.0,0.0,0.056304,是(从未下单)
U000914,金牌会员,0.0,0.0,0.053376,是(从未下单)
U000943,金牌会员,0.0,0.0,0.056089,是(从未下单)
U001012,金牌会员,0.0,0.0,0.055765,是(从未下单)
U001250,银牌会员,0.0,0.0,0.054019,是(从未下单)
U001279,银牌会员,0.0,0.0,0.051012,是(从未下单)
U001311,铜牌会员,0.0,0.0,0.051749,是(从未下单)
U001326,普通会员,0.0,0.0,0.050937,是(从未下单)
U001329,银牌会员,0.0,0.0,0.054497,是(从未下单)
U001352,铜牌会员,0.0,0.0,0.060762,是(从未下单)
U001380,普通会员,0.0,0.0,0.054532,是(从未下单)
U001397,银牌会员,0.0,0.0,0.055073,是(从未下单)
U001447,铜牌会员,0.0,0.0,0.052546,是(从未下单)
U001463,铜牌会员,0.0,0.0,0.051447,是(从未下单)
U001585,银牌会员,0.0,0.0,0.055685,是(从未下单)
U001598,银牌会员,0.0,0.0,0.070367,是(从未下单)
U001635,铜牌会员,0.0,0.0,0.067704,是(从未下单)
U001732,铜牌会员,0.0,0.0,0.051026,是(从未下单)
U001774,银牌会员,0.0,0.0,0.078678,是(从未下单)
U001809,普通会员,0.0,0.0,0.050805,是(从未下单)
U001833,铜牌会员,0.0,0.0,0.052178,是(从未下单)
U002083,金牌会员,0.0,0.0,0.059736,是(从未下单)
U002252,普通会员,0.0,0.0,0.052989,是(从未下单)
U002311,普通会员,0.0,0.0,0.051369,是(从未下单)
U002356,普通会员,0.0,0.0,0.049868,是(从未下单)
U002380,铜牌会员,0.0,0.0,0.051766,是(从未下单)
U002418,普通会员,0.0,0.0,0.059795,是(从未下单)
U002422,金牌会员,0.0,0.0,0.066584,是(从未下单)
U002427,普通会员,0.0,0.0,0.049958,是(从未下单)
U002473,金牌会员,0.0,0.0,0.052963,是(从未下单)
U002523,铜牌会员,0.0,0.0,0.051419,是(从未下单)
U002647,普通会员,0.0,0.0,0.052074,是(从未下单)
U002664,钻石会员,0.0,0.0,0.056678,是(从未下单)
U002754,普通会员,0.0,0.0,0.059376,是(从未下单)
U002767,铜牌会员,0.0,0.0,0.060409,是(从未下单)
U002798,铜牌会员,0.0,0.0,0.051386,是(从未下单)
U002815,银牌会员,0.0,0.0,0.063132,是(从未下单)
U002842,金牌会员,0.0,0.0,0.062377,是(从未下单)
U002933,银牌会员,0.0,0.0,0.050319,是(从未下单)
U002998,铜牌会员,0.0,0.0,0.050664,是(从未下单)
U003104,金牌会员,0.0,0.0,0.056024,是(从未下单)
U003134,银牌会员,0.0,0.0,0.054056,是(从未下单)
U003210,银牌会员,0.0,0.0,0.054569,是(从未下单)
U003319,金牌会员,0.0,0.0,0.068006,是(从未下单)
U003347,银牌会员,0.0,0.0,0.067846,是(从未下单)
U003365,钻石会员,0.0,0.0,0.05416,是(从未下单)
U003412,铜牌会员,0.0,0.0,0.052005,是(从未下单)
U003431,铜牌会员,0.0,0.0,0.054759,是(从未下单)
U003508,银牌会员,0.0,0.0,0.051394,是(从未下单)
U003558,铜牌会员,0.0,0.0,0.049361,是(从未下单)
U003733,铜牌会员,0.0,0.0,0.058083,是(从未下单)
U003736,银牌会员,0.0,0.0,0.060049,是(从未下单)
U003745,金牌会员,0.0,0.0,0.050885,是(从未下单)
U003752,银牌会员,0.0,0.0,0.050726,是(从未下单)
U003771,金牌会员,0.0,0.0,0.052305,是(从未下单)
U003810,银牌会员,0.0,0.0,0.05491,是(从未下单)
U003835,铜牌会员,0.0,0.0,0.055566,是(从未下单)
U003932,铜牌会员,0.0,0.0,0.053681,是(从未下单)
U003949,铜牌会员,0.0,0.0,0.054196,是(从未下单)
U003965,普通会员,0.0,0.0,0.050327,是(从未下单)
U003979,银牌会员,0.0,0.0,0.057317,是(从未下单)
U004076,铜牌会员,0.0,0.0,0.051905,是(从未下单)
U004103,铜牌会员,0.0,0.0,0.052946,是(从未下单)
U004213,银牌会员,0.0,0.0,0.050776,是(从未下单)
U004225,金牌会员,0.0,0.0,0.052774,是(从未下单)
U004252,铜牌会员,0.0,0.0,0.050029,是(从未下单)
U004339,银牌会员,0.0,0.0,0.057868,是(从未下单)
U004354,普通会员,0.0,0.0,0.068409,是(从未下单)
U004357,铜牌会员,0.0,0.0,0.050358,是(从未下单)
U004424,金牌会员,0.0,0.0,0.053319,是(从未下单)
U004445,银牌会员,0.0,0.0,0.055362,是(从未下单)
U004446,银牌会员,0.0,0.0,0.05598,是(从未下单)
U004452,金牌会员,0.0,0.0,0.05799,是(从未下单)
U004468,银牌会员,0.0,0.0,0.050975,是(从未下单)
U004499,银牌会员,0.0,0.0,0.05857,是(从未下单)
U004595,银牌会员,0.0,0.0,0.05905,是(从未下单)
U004623,铜牌会员,0.0,0.0,0.058655,是(从未下单)
U004677,普通会员,0.0,0.0,0.065439,是(从未下单)
U004682,银牌会员,0.0,0.0,0.053894,是(从未下单)
U004705,铜牌会员,0.0,0.0,0.052437,是(从未下单)
U004709,铜牌会员,0.0,0.0,0.052642,是(从未下单)
U004759,铜牌会员,0.0,0.0,0.05253,是(从未下单)
U004778,钻石会员,0.0,0.0,0.057021,是(从未下单)
U004817,铜牌会员,0.0,0.0,0.065291,是(从未下单)
U004828,普通会员,0.0,0.0,0.052211,是(从未下单)
U004874,银牌会员,0.0,0.0,0.055274,是(从未下单)
U004877,银牌会员,0.0,0.0,0.056056,是(从未下单)
U004895,银牌会员,0.0,0.0,0.053905,是(从未下单)
U004960,普通会员,0.0,0.0,0.058337,是(从未下单)
U004971,铜牌会员,0.0,0.0,0.049342,是(从未下单)
