category,引流爆款,滞销商品,爆款营收,滞销营收,玩法
箱包配饰,外交官箱包配饰商品687,GUCCI箱包配饰商品259,32197.04,9.57,同品类满额立减/第二件半价/加9.9元换购
宠物用品,比瑞吉宠物用品商品310,pidan宠物用品商品948,29746.88,150.39,同品类满额立减/第二件半价/加9.9元换购
图书音像,人民邮电出版社图书音像商品522,博库网图书音像商品736,28116.66,167.12,同品类满额立减/第二件半价/加9.9元换购
食品生鲜,五粮液食品生鲜商品281,良品铺子食品生鲜商品410,32123.98,262.04,同品类满额立减/第二件半价/加9.9元换购
医药保健,善存医药保健商品975,Swisse医药保健商品173,28335.44,333.87,同品类满额立减/第二件半价/加9.9元换购
家居家装,顾家家居家居家装商品822,全友家居家居家装商品556,28803.21,351.17,同品类满额立减/第二件半价/加9.9元换购
服装鞋包,ZARA服装鞋包商品284,耐克服装鞋包商品711,58056.1,461.81,同品类满额立减/第二件半价/加9.9元换购
运动户外,探路者运动户外商品701,探路者运动户外商品348,25385.38,750.79,同品类满额立减/第二件半价/加9.9元换购
母婴用品,花王母婴用品商品653,强生母婴用品商品257,29798.85,868.5,同品类满额立减/第二件半价/加9.9元换购
礼品鲜花,诺誓礼品鲜花商品754,野兽派礼品鲜花商品275,27562.44,890.98,同品类满额立减/第二件半价/加9.9元换购
美妆护肤,雅诗兰黛美妆护肤商品194,完美日记美妆护肤商品612,76614.06,1121.88,同品类满额立减/第二件半价/加9.9元换购
手机数码,三星手机数码商品810,荣耀手机数码商品413,240439.03,2367.88,同品类满额立减/第二件半价/加9.9元换购
珠宝首饰,六福珠宝珠宝首饰商品339,潘多拉珠宝首饰商品187,64321.98,2848.2,同品类满额立减/第二件半价/加9.9元换购
汽车用品,海康威视汽车用品商品432,博世汽车用品商品954,240474.59,4584.31,同品类满额立减/第二件半价/加9.9元换购
