user_id,member_level,consumption_level,segment,freq_g,total_spent,order_frequency,repurchase_probability,建议动作
U002606,铜牌会员,高,价值用户,复购≥2次,26231.6,5.0,0.937213,会员专属权益(不主发券)
U003751,铜牌会员,高,价值用户,复购≥2次,32972.56,2.0,0.916848,会员专属权益(不主发券)
U001048,银牌会员,高,价值用户,复购≥2次,29799.75,4.0,0.912313,会员专属权益(不主发券)
U003293,银牌会员,高,价值用户,复购≥2次,25668.54,3.0,0.908062,会员专属权益(不主发券)
U002315,铜牌会员,高,价值用户,复购≥2次,27443.93,4.0,0.895656,会员专属权益(不主发券)
U004379,铜牌会员,高,价值用户,复购≥2次,25900.79,3.0,0.892997,会员专属权益(不主发券)
U002987,银牌会员,高,价值用户,复购≥2次,29496.11,3.0,0.892162,会员专属权益(不主发券)
U003147,金牌会员,高,价值用户,复购≥2次,12052.01,2.0,0.89184,会员专属权益(不主发券)
U004344,铜牌会员,高,价值用户,复购≥2次,20750.58,2.0,0.891684,会员专属权益(不主发券)
U001509,铜牌会员,高,价值用户,复购≥2次,16063.88,3.0,0.889188,会员专属权益(不主发券)
U003937,银牌会员,高,价值用户,复购≥2次,37415.74,2.0,0.887932,会员专属权益(不主发券)
U000875,普通会员,高,价值用户,复购≥2次,40241.61,3.0,0.887409,会员专属权益(不主发券)
U001742,银牌会员,高,价值用户,复购≥2次,45222.9,3.0,0.887118,会员专属权益(不主发券)
U003248,金牌会员,高,价值用户,复购≥2次,15851.84,2.0,0.88691,会员专属权益(不主发券)
U002242,银牌会员,高,价值用户,复购≥2次,45623.55,4.0,0.886876,会员专属权益(不主发券)
U001876,铜牌会员,高,价值用户,复购≥2次,56277.34,6.0,0.88583,会员专属权益(不主发券)
U001342,铜牌会员,高,价值用户,复购≥2次,25751.94,2.0,0.884628,会员专属权益(不主发券)
U004840,普通会员,高,价值用户,复购≥2次,10303.34,3.0,0.884118,会员专属权益(不主发券)
U002063,铜牌会员,高,价值用户,复购≥2次,36310.93,2.0,0.882205,会员专属权益(不主发券)
U003421,普通会员,高,价值用户,复购≥2次,11132.07,3.0,0.882143,会员专属权益(不主发券)
U003322,银牌会员,高,价值用户,复购≥2次,12402.68,2.0,0.88158,会员专属权益(不主发券)
U001576,普通会员,高,价值用户,复购≥2次,50072.47,5.0,0.880693,会员专属权益(不主发券)
U000018,钻石会员,高,价值用户,复购≥2次,22760.27,2.0,0.879593,会员专属权益(不主发券)
U001081,普通会员,高,价值用户,复购≥2次,29321.53,2.0,0.878732,会员专属权益(不主发券)
