pool,product_id,product_name,category,price,conversion_rate,popularity_score,avg_review_score,avg_disc,sales_count
爆款高转化池,P000001,壳牌汽车用品商品696,汽车用品,4895.89,0.5,0.18,4.0,0.1134180799392757,1228
爆款高转化池,P000004,优衣库服装鞋包商品572,服装鞋包,148.74,0.75,0.36,4.67,0.18495559924857696,9402
爆款高转化池,P000005,帮宝适母婴用品商品608,母婴用品,39.19,0.5,0.47,5.0,0.09447108157930806,6990
爆款高转化池,P000006,完美日记美妆护肤商品319,美妆护肤,1821.19,0.5,0.34,4.0,0.19613970804265968,4505
爆款高转化池,P000007,五粮液食品生鲜商品252,食品生鲜,44.3,0.5556,0.65,4.33,0.10343392284049963,4026
爆款高转化池,P000008,博世汽车用品商品610,汽车用品,3589.94,0.4286,0.5,4.5,0.1586416934154837,9022
爆款高转化池,P000010,美赞臣母婴用品商品758,母婴用品,885.81,0.5,0.53,4.5,0.16384848024250886,8614
爆款高转化池,P000012,中信出版社图书音像商品900,图书音像,489.83,0.4444,0.59,4.0,0.07548358583635172,9267
爆款高转化池,P000013,哥伦比亚运动户外商品497,运动户外,277.73,0.7143,0.49,4.5,0.20374198687599646,427
爆款高转化池,P000014,曲美家居家装商品130,家居家装,896.81,0.4,0.73,4.67,0.1385477690884946,4602
爆款高转化池,P000015,荣耀手机数码商品642,手机数码,3180.75,0.5714,0.63,4.67,0.12091088326600395,9568
爆款高转化池,P000016,格力家用电器商品202,家用电器,2358.93,0.5,0.48,4.0,0.1340422510020559,3951
爆款高转化池,P000017,三只松鼠食品生鲜商品882,食品生鲜,996.43,0.6,0.36,5.0,0.12610415714843176,3594
爆款高转化池,P000018,诺誓礼品鲜花商品463,礼品鲜花,935.85,0.5833,0.83,4.2,0.129879148306684,2846
爆款高转化池,P000019,欧莱雅美妆护肤商品706,美妆护肤,670.11,0.6,0.66,4.6,0.1129072250545611,5878
爆款高转化池,P000022,骆驼运动户外商品279,运动户外,495.53,0.4545,0.74,4.75,0.18235802706351267,1478
爆款高转化池,P000025,老凤祥珠宝首饰商品448,珠宝首饰,1448.03,0.5,0.64,4.67,0.17813986332499593,5301
爆款高转化池,P000026,苹果手机数码商品251,手机数码,4899.57,0.5,0.43,5.0,0.143979049072508,2320
爆款高转化池,P000029,Roseonly礼品鲜花商品444,礼品鲜花,308.75,0.6667,0.45,5.0,0.1787134311860411,2235
爆款高转化池,P000030,珀莱雅美妆护肤商品910,美妆护肤,1296.57,0.4444,0.7,4.33,0.1650131871933902,7982
爆款高转化池,P000031,卡仕达汽车用品商品278,汽车用品,5803.87,0.5455,0.73,4.33,0.12083737139889252,9207
爆款高转化池,P000032,云南白药医药保健商品328,医药保健,668.88,0.5455,0.66,4.0,0.13055706477867682,2872
爆款高转化池,P000033,花王母婴用品商品851,母婴用品,691.61,0.6667,0.48,4.67,0.17970074183728582,2086
爆款高转化池,P000034,雅诗兰黛美妆护肤商品818,美妆护肤,1899.96,0.5,0.27,5.0,0.19895623837442372,6415
爆款高转化池,P000035,皇家宠物用品商品286,宠物用品,606.36,0.5833,0.96,4.33,0.1462490703897236,3619
爆款高转化池,P000037,戴森家用电器商品427,家用电器,1759.16,0.4615,0.91,4.67,0.12355836807545358,1453
爆款高转化池,P000039,海尔家用电器商品458,家用电器,2424.93,0.4286,0.46,4.23,0.14834224388340259,1770
爆款高转化池,P000044,三只松鼠食品生鲜商品426,食品生鲜,268.52,0.4444,0.53,4.67,0.13906289296815716,1715
爆款高转化池,P000047,东鹏家居家装商品821,家居家装,40.68,0.5,0.4,4.23,0.1519651975586241,2703
爆款高转化池,P000048,诺誓礼品鲜花商品260,礼品鲜花,63.02,0.6667,0.48,4.67,0.1897047290874562,5424
爆款高转化池,P000049,西门子家用电器商品519,家用电器,5728.98,0.6,0.43,4.33,0.1438315827585819,8849
爆款高转化池,P000050,伊利食品生鲜商品404,食品生鲜,245.17,0.5,0.8,4.5,0.1282187414628422,813
爆款高转化池,P000052,飞鹤母婴用品商品401,母婴用品,825.66,0.5,0.63,4.67,0.13603835328130245,9833
爆款高转化池,P000055,福临门食品生鲜商品582,食品生鲜,494.21,0.75,0.6,4.6,0.17246705878337873,4341
爆款高转化池,P000056,七匹狼服装鞋包商品289,服装鞋包,773.49,0.5,0.62,4.5,0.15590818573889736,6249
爆款高转化池,P000061,美的家用电器商品960,家用电器,3403.3,0.625,0.69,4.33,0.11432497861764315,8561
爆款高转化池,P000062,强生母婴用品商品686,母婴用品,882.84,0.5833,0.79,4.4,0.2065907518972503,7803
爆款高转化池,P000065,SK-II美妆护肤商品316,美妆护肤,1626.5,0.5455,0.68,4.67,0.09669890844691778,2067
爆款高转化池,P000066,一加手机数码商品180,手机数码,7912.1,0.4286,0.44,4.5,0.20989614043354057,7133
爆款高转化池,P000069,哥伦比亚运动户外商品977,运动户外,283.44,0.5455,0.68,4.67,0.1541576291786556,7506
爆款高转化池,P000070,新秀丽箱包配饰商品905,箱包配饰,703.41,0.5833,0.8,4.0,0.1782611135165076,9626
爆款高转化池,P000077,凌度汽车用品商品139,汽车用品,3468.45,0.625,0.6,4.4,0.1402500559204129,5431
爆款高转化池,P000078,Swisse医药保健商品150,医药保健,748.29,0.4545,0.68,4.5,0.17618515422104342,4400
爆款高转化池,P000079,GUCCI箱包配饰商品120,箱包配饰,344.49,0.75,0.37,4.0,0.12311706910174045,4965
爆款高转化池,P000080,伊利食品生鲜商品963,食品生鲜,496.7,1.0,0.5,4.4,0.17386043981055602,1609
爆款高转化池,P000084,东阿阿胶医药保健商品877,医药保健,521.34,0.5714,0.55,4.5,0.16980898583228576,6126
爆款高转化池,P000085,皇家宠物用品商品627,宠物用品,793.58,0.5,0.38,4.0,0.1877701940070995,1075
爆款高转化池,P000086,福临门食品生鲜商品238,食品生鲜,782.71,0.4,0.45,5.0,0.09874330517287755,8589
爆款高转化池,P000088,皇家宠物用品商品355,宠物用品,42.74,0.5714,0.5,5.0,0.131459217867633,828
爆款高转化池,P000090,小佩宠物用品商品617,宠物用品,402.97,0.625,0.54,4.6,0.1506239561029042,2029
爆款高转化池,P000094,钙尔奇医药保健商品391,医药保健,37.18,1.0,0.45,4.6,0.1683646877365443,813
爆款高转化池,P000098,Roseonly礼品鲜花商品329,礼品鲜花,259.87,0.4,0.62,4.33,0.2166164432292279,5004
爆款高转化池,P000099,同仁堂医药保健商品533,医药保健,896.53,0.4286,0.48,5.0,0.18500928989037188,5713
爆款高转化池,P000100,博库网图书音像商品323,图书音像,472.03,0.6,0.68,4.5,0.12754962822671678,8530
爆款高转化池,P000101,pidan宠物用品商品698,宠物用品,111.29,0.4,0.43,4.0,0.09980525927231712,8380
爆款高转化池,P000104,索菲亚家居家装商品755,家居家装,331.89,0.5,0.28,4.0,0.15589288486392497,4536
爆款高转化池,P000107,好奇母婴用品商品797,母婴用品,148.53,0.4444,0.66,5.0,0.1587390300432251,417
爆款高转化池,P000109,帮宝适母婴用品商品854,母婴用品,44.97,0.5,0.51,4.33,0.17306185372582836,9372
爆款高转化池,P000112,比瑞吉宠物用品商品960,宠物用品,661.04,0.6667,0.47,4.5,0.1685218218533077,9146
爆款高转化池,P000113,自然堂美妆护肤商品199,美妆护肤,968.02,0.5,0.53,4.5,0.1217874976988098,4237
爆款高转化池,P000117,当当图书音像商品581,图书音像,63.14,0.4286,0.56,4.0,0.20366789959967765,9561
爆款高转化池,P000121,欧莱雅美妆护肤商品450,美妆护肤,847.92,0.4444,0.55,4.5,0.1443546611071703,9329
爆款高转化池,P000124,宜家家居家装商品104,家居家装,457.53,0.6,0.38,5.0,0.11030882287764254,3430
爆款高转化池,P000125,老凤祥珠宝首饰商品690,珠宝首饰,1540.74,0.4444,0.66,4.0,0.19966471625717516,8021
爆款高转化池,P000126,周生生珠宝首饰商品232,珠宝首饰,1248.24,0.7273,0.77,4.25,0.10427577792934885,7035
爆款高转化池,P000127,帮宝适母婴用品商品588,母婴用品,389.48,0.5,0.52,4.0,0.1828670244927849,618
爆款高转化池,P000129,GUCCI箱包配饰商品875,箱包配饰,834.9,0.5,0.36,5.0,0.14043217351531115,3122
爆款高转化池,P000130,苹果手机数码商品741,手机数码,6002.02,0.4667,0.94,4.67,0.09600002569575325,3707
爆款高转化池,P000131,云南白药医药保健商品419,医药保健,137.64,0.6,0.63,4.5,0.18176018298815427,6284
爆款高转化池,P000133,伊利食品生鲜商品566,食品生鲜,730.55,0.5,0.3,4.23,0.11513577776225803,9770
爆款高转化池,P000134,哥伦比亚运动户外商品544,运动户外,889.09,0.8333,0.45,4.0,0.1729725489809084,2192
爆款高转化池,P000135,东鹏家居家装商品467,家居家装,752.61,0.4286,0.48,4.0,0.1441311910868543,2701
爆款高转化池,P000136,COACH箱包配饰商品119,箱包配饰,236.13,0.4,0.63,4.25,0.1758933609143169,2149
爆款高转化池,P000137,美的家用电器商品703,家用电器,4284.75,0.4167,0.78,4.4,0.13328350396757746,2017
爆款高转化池,P000138,宜家家居家装商品484,家居家装,877.78,0.5,0.53,5.0,0.10078669610102726,4190
爆款高转化池,P000139,周大福珠宝首饰商品708,珠宝首饰,1989.63,0.5385,0.76,4.5,0.1905963912799838,1771
爆款高转化池,P000141,新华书店图书音像商品226,图书音像,551.81,0.4167,0.93,4.25,0.07645171916156594,7772
爆款高转化池,P000144,良品铺子食品生鲜商品528,食品生鲜,832.35,0.5,0.39,5.0,0.12190508669295098,1718
爆款高转化池,P000145,李宁运动户外商品389,运动户外,122.87,0.5,0.64,4.0,0.11146583851877528,1741
爆款高转化池,P000147,麦富迪宠物用品商品466,宠物用品,706.4,0.625,0.59,4.75,0.14565140316811856,4839
爆款高转化池,P000152,LV箱包配饰商品759,箱包配饰,238.85,0.4444,0.62,4.5,0.15028711132634687,4850
爆款高转化池,P000153,五粮液食品生鲜商品151,食品生鲜,108.81,0.4286,0.56,4.0,0.10231175022738458,2862
爆款高转化池,P000154,皇家宠物用品商品972,宠物用品,297.66,0.7143,0.59,4.5,0.19775160064548708,5123
爆款高转化池,P000155,飞鹤母婴用品商品197,母婴用品,852.73,0.5,0.4,5.0,0.09104427183864174,751
爆款高转化池,P000160,潮宏基珠宝首饰商品764,珠宝首饰,1777.94,0.4286,0.57,4.5,0.17453070323055977,2732
爆款高转化池,P000165,新华书店图书音像商品215,图书音像,888.72,0.4444,0.55,4.0,0.16428658441539212,7220
爆款高转化池,P000167,Swisse医药保健商品785,医药保健,874.41,0.4444,0.64,4.0,0.11562138199555053,8504
爆款高转化池,P000168,李宁运动户外商品543,运动户外,665.1,0.7,0.64,4.83,0.15363206678629915,4072
爆款高转化池,P000178,冠能宠物用品商品910,宠物用品,608.16,0.5,0.47,4.0,0.18348524433813437,4990
爆款高转化池,P000179,瑞士军威箱包配饰商品770,箱包配饰,674.76,0.5,0.73,4.5,0.16795203657996538,5584
爆款高转化池,P000181,东鹏家居家装商品833,家居家装,660.6,0.5,0.53,4.0,0.10945485629279218,7414
爆款高转化池,P000182,ZARA服装鞋包商品877,服装鞋包,1334.87,0.6667,0.3,5.0,0.18266839353071276,35
爆款高转化池,P000184,哥伦比亚运动户外商品818,运动户外,115.26,0.5714,0.46,5.0,0.15334056734045529,2689
爆款高转化池,P000186,阿迪达斯服装鞋包商品725,服装鞋包,432.05,0.5714,0.46,4.67,0.11327869823393084,1978
爆款高转化池,P000187,COACH箱包配饰商品320,箱包配饰,462.48,0.4286,0.49,4.5,0.19612555098236056,3122
爆款高转化池,P000189,外交官箱包配饰商品890,箱包配饰,892.84,0.5,0.57,4.33,0.12361818331644178,7493
爆款高转化池,P000192,老凤祥珠宝首饰商品808,珠宝首饰,1178.18,0.6154,0.77,4.33,0.10365698185588507,2103
爆款高转化池,P000193,七匹狼服装鞋包商品773,服装鞋包,1221.06,0.4286,0.5,4.5,0.18401476855127777,5273
爆款高转化池,P000195,福临门食品生鲜商品451,食品生鲜,970.79,0.625,0.57,5.0,0.15988776580392816,7419
爆款高转化池,P000197,金龙鱼食品生鲜商品828,食品生鲜,739.45,0.4545,0.81,4.0,0.14844128762434766,9069
爆款高转化池,P000199,卡仕达汽车用品商品788,汽车用品,1495.04,0.625,0.6,4.6,0.11036933604730005,2913
爆款高转化池,P000200,哥伦比亚运动户外商品827,运动户外,124.25,0.5,0.57,4.0,0.16841238135909048,5771
