user_id,tier,top_category,pool,rec_rank,product_id,product_name
U000876,高意向,箱包配饰,爆款高转化池,1,P000784,LV箱包配饰商品872
U000876,高意向,箱包配饰,爆款高转化池,2,P000262,瑞士军威箱包配饰商品369
U000876,高意向,箱包配饰,爆款高转化池,3,P001766,MK箱包配饰商品997
U000876,高意向,箱包配饰,爆款高转化池,4,P000070,新秀丽箱包配饰商品905
U000876,高意向,箱包配饰,爆款高转化池,5,P001698,外交官箱包配饰商品687
U003964,高意向,医药保健,爆款高转化池,1,P000094,钙尔奇医药保健商品391
U003964,高意向,医药保健,爆款高转化池,2,P001052,钙尔奇医药保健商品186
U003964,高意向,医药保健,爆款高转化池,3,P001079,九芝堂医药保健商品943
U003964,高意向,医药保健,爆款高转化池,4,P000375,东阿阿胶医药保健商品523
U003964,高意向,医药保健,爆款高转化池,5,P000355,云南白药医药保健商品473
U003006,高意向,手机数码,爆款高转化池,1,P000808,华为手机数码商品883
U003006,高意向,手机数码,爆款高转化池,2,P001509,三星手机数码商品747
U003006,高意向,手机数码,爆款高转化池,3,P000688,华为手机数码商品474
U003006,高意向,手机数码,爆款高转化池,4,P000498,三星手机数码商品800
U003006,高意向,手机数码,爆款高转化池,5,P001082,小米手机数码商品672
U003451,高意向,宠物用品,爆款高转化池,1,P000750,冠能宠物用品商品494
U003451,高意向,宠物用品,爆款高转化池,2,P000035,皇家宠物用品商品286
U003451,高意向,宠物用品,爆款高转化池,3,P001710,网易严选宠物用品商品732
U003451,高意向,宠物用品,爆款高转化池,4,P000996,麦富迪宠物用品商品635
U003451,高意向,宠物用品,爆款高转化池,5,P000462,冠能宠物用品商品709
U003926,高意向,美妆护肤,爆款高转化池,1,P000532,珀莱雅美妆护肤商品523
U003926,高意向,美妆护肤,爆款高转化池,2,P000773,自然堂美妆护肤商品332
U003926,高意向,美妆护肤,爆款高转化池,3,P000947,珀莱雅美妆护肤商品976
U003926,高意向,美妆护肤,爆款高转化池,4,P000971,SK-II美妆护肤商品867
U003926,高意向,美妆护肤,爆款高转化池,5,P001402,珀莱雅美妆护肤商品932
U004687,高意向,运动户外,爆款高转化池,1,P001787,361度运动户外商品484
U004687,高意向,运动户外,爆款高转化池,2,P001427,骆驼运动户外商品702
U004687,高意向,运动户外,爆款高转化池,3,P000783,哥伦比亚运动户外商品762
U004687,高意向,运动户外,爆款高转化池,4,P000134,哥伦比亚运动户外商品544
U004687,高意向,运动户外,爆款高转化池,5,P000168,李宁运动户外商品543
U000623,高意向,美妆护肤,爆款高转化池,1,P000532,珀莱雅美妆护肤商品523
U000623,高意向,美妆护肤,爆款高转化池,2,P000773,自然堂美妆护肤商品332
U000623,高意向,美妆护肤,爆款高转化池,3,P000947,珀莱雅美妆护肤商品976
U000623,高意向,美妆护肤,爆款高转化池,4,P000971,SK-II美妆护肤商品867
U000623,高意向,美妆护肤,爆款高转化池,5,P001402,珀莱雅美妆护肤商品932
U000622,高意向,运动户外,爆款高转化池,1,P001787,361度运动户外商品484
U000622,高意向,运动户外,爆款高转化池,2,P001427,骆驼运动户外商品702
U000622,高意向,运动户外,爆款高转化池,3,P000783,哥伦比亚运动户外商品762
U000622,高意向,运动户外,爆款高转化池,4,P000134,哥伦比亚运动户外商品544
U000622,高意向,运动户外,爆款高转化池,5,P000168,李宁运动户外商品543
U004661,高意向,家居家装,爆款高转化池,1,P000883,顾家家居家居家装商品927
U004661,高意向,家居家装,爆款高转化池,2,P000221,曲美家居家装商品318
U004661,高意向,家居家装,爆款高转化池,3,P001102,马可波罗家居家装商品703
U004661,高意向,家居家装,爆款高转化池,4,P001151,宜家家居家装商品838
U004661,高意向,家居家装,爆款高转化池,5,P001129,曲美家居家装商品570
U000627,高意向,医药保健,爆款高转化池,1,P000094,钙尔奇医药保健商品391
U000627,高意向,医药保健,爆款高转化池,2,P001052,钙尔奇医药保健商品186
U000627,高意向,医药保健,爆款高转化池,3,P001079,九芝堂医药保健商品943
U000627,高意向,医药保健,爆款高转化池,4,P000375,东阿阿胶医药保健商品523
