rank,user_id,purchase_intent,predicted_intent,intent_tier,top_category,rec_pool,rec_product_ids,rec_product_names
1,U000876,0.4,0.33966,高意向,箱包配饰,爆款高转化池,P000784|P000262|P001766|P000070|P001698,LV箱包配饰商品872|瑞士军威箱包配饰商品369|MK箱包配饰商品997|新秀丽箱包配饰商品905|外交官箱包配饰商品687
2,U003964,0.3999,0.336179,高意向,医药保健,爆款高转化池,P000094|P001052|P001079|P000375|P000355,钙尔奇医药保健商品391|钙尔奇医药保健商品186|九芝堂医药保健商品943|东阿阿胶医药保健商品523|云南白药医药保健商品473
3,U003006,0.3998,0.324028,高意向,手机数码,爆款高转化池,P000808|P001509|P000688|P000498|P001082,华为手机数码商品883|三星手机数码商品747|华为手机数码商品474|三星手机数码商品800|小米手机数码商品672
4,U003451,0.3998,0.343221,高意向,宠物用品,爆款高转化池,P000750|P000035|P001710|P000996|P000462,冠能宠物用品商品494|皇家宠物用品商品286|网易严选宠物用品商品732|麦富迪宠物用品商品635|冠能宠物用品商品709
5,U003926,0.3998,0.360168,高意向,美妆护肤,爆款高转化池,P000532|P000773|P000947|P000971|P001402,珀莱雅美妆护肤商品523|自然堂美妆护肤商品332|珀莱雅美妆护肤商品976|SK-II美妆护肤商品867|珀莱雅美妆护肤商品932
6,U004687,0.3998,0.225605,高意向,运动户外,爆款高转化池,P001787|P001427|P000783|P000134|P000168,361度运动户外商品484|骆驼运动户外商品702|哥伦比亚运动户外商品762|哥伦比亚运动户外商品544|李宁运动户外商品543
7,U000623,0.3997,0.256837,高意向,美妆护肤,爆款高转化池,P000532|P000773|P000947|P000971|P001402,珀莱雅美妆护肤商品523|自然堂美妆护肤商品332|珀莱雅美妆护肤商品976|SK-II美妆护肤商品867|珀莱雅美妆护肤商品932
8,U000622,0.3996,0.249806,高意向,运动户外,爆款高转化池,P001787|P001427|P000783|P000134|P000168,361度运动户外商品484|骆驼运动户外商品702|哥伦比亚运动户外商品762|哥伦比亚运动户外商品544|李宁运动户外商品543
9,U004661,0.3996,0.244815,高意向,家居家装,爆款高转化池,P000883|P000221|P001102|P001151|P001129,顾家家居家居家装商品927|曲美家居家装商品318|马可波罗家居家装商品703|宜家家居家装商品838|曲美家居家装商品570
10,U000627,0.3995,0.258869,高意向,医药保健,爆款高转化池,P000094|P001052|P001079|P000375|P000355,钙尔奇医药保健商品391|钙尔奇医药保健商品186|九芝堂医药保健商品943|东阿阿胶医药保健商品523|云南白药医药保健商品473
11,U002194,0.3995,0.331988,高意向,医药保健,爆款高转化池,P000094|P001052|P001079|P000375|P000355,钙尔奇医药保健商品391|钙尔奇医药保健商品186|九芝堂医药保健商品943|东阿阿胶医药保健商品523|云南白药医药保健商品473
12,U003793,0.3995,0.325125,高意向,美妆护肤,爆款高转化池,P000532|P000773|P000947|P000971|P001402,珀莱雅美妆护肤商品523|自然堂美妆护肤商品332|珀莱雅美妆护肤商品976|SK-II美妆护肤商品867|珀莱雅美妆护肤商品932
13,U002890,0.3994,0.353821,高意向,医药保健,爆款高转化池,P000094|P001052|P001079|P000375|P000355,钙尔奇医药保健商品391|钙尔奇医药保健商品186|九芝堂医药保健商品943|东阿阿胶医药保健商品523|云南白药医药保健商品473
14,U000558,0.3993,0.361808,高意向,服装鞋包,爆款高转化池,P001734|P001740|P001694|P000314|P000970,ZARA服装鞋包商品462|耐克服装鞋包商品217|优衣库服装鞋包商品426|耐克服装鞋包商品620|海澜之家服装鞋包商品195
15,U003869,0.3991,0.348228,高意向,美妆护肤,爆款高转化池,P000532|P000773|P000947|P000971|P001402,珀莱雅美妆护肤商品523|自然堂美妆护肤商品332|珀莱雅美妆护肤商品976|SK-II美妆护肤商品867|珀莱雅美妆护肤商品932
16,U003573,0.399,0.34774,高意向,家居家装,爆款高转化池,P000883|P000221|P001102|P001151|P001129,顾家家居家居家装商品927|曲美家居家装商品318|马可波罗家居家装商品703|宜家家居家装商品838|曲美家居家装商品570
17,U004367,0.399,0.339224,高意向,运动户外,爆款高转化池,P001787|P001427|P000783|P000134|P000168,361度运动户外商品484|骆驼运动户外商品702|哥伦比亚运动户外商品762|哥伦比亚运动户外商品544|李宁运动户外商品543
18,U002068,0.3987,0.231013,高意向,汽车用品,爆款高转化池,P001927|P001490|P000410|P001675|P000547,米其林汽车用品商品720|壳牌汽车用品商品142|固特异汽车用品商品584|3M汽车用品商品220|卡仕达汽车用品商品137
19,U003168,0.3987,0.3416,高意向,珠宝首饰,爆款高转化池,P000538|P000126|P001784|P000192|P000551,老凤祥珠宝首饰商品443|周生生珠宝首饰商品232|老凤祥珠宝首饰商品799|老凤祥珠宝首饰商品808|老凤祥珠宝首饰商品566
20,U001487,0.3986,0.353193,高意向,家居家装,爆款高转化池,P000883|P000221|P001102|P001151|P001129,顾家家居家居家装商品927|曲美家居家装商品318|马可波罗家居家装商品703|宜家家居家装商品838|曲美家居家装商品570
21,U002269,0.3986,0.351207,高意向,箱包配饰,爆款高转化池,P000784|P000262|P001766|P000070|P001698,LV箱包配饰商品872|瑞士军威箱包配饰商品369|MK箱包配饰商品997|新秀丽箱包配饰商品905|外交官箱包配饰商品687
22,U002855,0.3984,0.337953,高意向,美妆护肤,爆款高转化池,P000532|P000773|P000947|P000971|P001402,珀莱雅美妆护肤商品523|自然堂美妆护肤商品332|珀莱雅美妆护肤商品976|SK-II美妆护肤商品867|珀莱雅美妆护肤商品932
23,U000918,0.3983,0.344361,高意向,食品生鲜,爆款高转化池,P000080|P001955|P000818|P001304|P001988,伊利食品生鲜商品963|百草味食品生鲜商品833|金龙鱼食品生鲜商品198|五粮液食品生鲜商品181|良品铺子食品生鲜商品482
24,U004594,0.3982,0.220658,高意向,礼品鲜花,爆款高转化池,P001016|P000831|P001489|P000018|P001157,野兽派礼品鲜花商品306|Roseonly礼品鲜花商品580|诺誓礼品鲜花商品189|诺誓礼品鲜花商品463|施华洛世奇礼品鲜花商品442
25,U000450,0.3981,0.349608,高意向,母婴用品,爆款高转化池,P000923|P001341|P001282|P000310|P000627,贝因美母婴用品商品502|花王母婴用品商品597|花王母婴用品商品885|强生母婴用品商品283|帮宝适母婴用品商品545
26,U004383,0.3981,0.33063,高意向,汽车用品,爆款高转化池,P001927|P001490|P000410|P001675|P000547,米其林汽车用品商品720|壳牌汽车用品商品142|固特异汽车用品商品584|3M汽车用品商品220|卡仕达汽车用品商品137
27,U004393,0.3981,0.253055,高意向,汽车用品,爆款高转化池,P001927|P001490|P000410|P001675|P000547,米其林汽车用品商品720|壳牌汽车用品商品142|固特异汽车用品商品584|3M汽车用品商品220|卡仕达汽车用品商品137
28,U004620,0.398,0.275135,高意向,箱包配饰,爆款高转化池,P000784|P000262|P001766|P000070|P001698,LV箱包配饰商品872|瑞士军威箱包配饰商品369|MK箱包配饰商品997|新秀丽箱包配饰商品905|外交官箱包配饰商品687
29,U001867,0.3979,0.361475,高意向,服装鞋包,爆款高转化池,P001734|P001740|P001694|P000314|P000970,ZARA服装鞋包商品462|耐克服装鞋包商品217|优衣库服装鞋包商品426|耐克服装鞋包商品620|海澜之家服装鞋包商品195
30,U002675,0.3979,0.340586,高意向,运动户外,爆款高转化池,P001787|P001427|P000783|P000134|P000168,361度运动户外商品484|骆驼运动户外商品702|哥伦比亚运动户外商品762|哥伦比亚运动户外商品544|李宁运动户外商品543
31,U003970,0.3979,0.348593,高意向,医药保健,爆款高转化池,P000094|P001052|P001079|P000375|P000355,钙尔奇医药保健商品391|钙尔奇医药保健商品186|九芝堂医药保健商品943|东阿阿胶医药保健商品523|云南白药医药保健商品473
32,U001805,0.3978,0.346599,高意向,家居家装,爆款高转化池,P000883|P000221|P001102|P001151|P001129,顾家家居家居家装商品927|曲美家居家装商品318|马可波罗家居家装商品703|宜家家居家装商品838|曲美家居家装商品570
33,U003137,0.3978,0.352946,高意向,美妆护肤,爆款高转化池,P000532|P000773|P000947|P000971|P001402,珀莱雅美妆护肤商品523|自然堂美妆护肤商品332|珀莱雅美妆护肤商品976|SK-II美妆护肤商品867|珀莱雅美妆护肤商品932
34,U000356,0.3977,0.346697,高意向,珠宝首饰,爆款高转化池,P000538|P000126|P001784|P000192|P000551,老凤祥珠宝首饰商品443|周生生珠宝首饰商品232|老凤祥珠宝首饰商品799|老凤祥珠宝首饰商品808|老凤祥珠宝首饰商品566
35,U000528,0.3977,0.25831,高意向,手机数码,爆款高转化池,P000808|P001509|P000688|P000498|P001082,华为手机数码商品883|三星手机数码商品747|华为手机数码商品474|三星手机数码商品800|小米手机数码商品672
36,U002233,0.3977,0.245044,高意向,图书音像,爆款高转化池,P001182|P000992|P001207|P001242|P001223,当当图书音像商品607|人民邮电出版社图书音像商品329|京东图书图书音像商品505|人民邮电出版社图书音像商品170|京东图书图书音像商品628
37,U002548,0.3977,0.242708,高意向,食品生鲜,爆款高转化池,P000080|P001955|P000818|P001304|P001988,伊利食品生鲜商品963|百草味食品生鲜商品833|金龙鱼食品生鲜商品198|五粮液食品生鲜商品181|良品铺子食品生鲜商品482
38,U004751,0.3977,0.338559,高意向,运动户外,爆款高转化池,P001787|P001427|P000783|P000134|P000168,361度运动户外商品484|骆驼运动户外商品702|哥伦比亚运动户外商品762|哥伦比亚运动户外商品544|李宁运动户外商品543
39,U003324,0.3976,0.346287,高意向,汽车用品,爆款高转化池,P001927|P001490|P000410|P001675|P000547,米其林汽车用品商品720|壳牌汽车用品商品142|固特异汽车用品商品584|3M汽车用品商品220|卡仕达汽车用品商品137
40,U000034,0.3974,0.255967,高意向,食品生鲜,爆款高转化池,P000080|P001955|P000818|P001304|P001988,伊利食品生鲜商品963|百草味食品生鲜商品833|金龙鱼食品生鲜商品198|五粮液食品生鲜商品181|良品铺子食品生鲜商品482
41,U000888,0.3974,0.246411,高意向,汽车用品,爆款高转化池,P001927|P001490|P000410|P001675|P000547,米其林汽车用品商品720|壳牌汽车用品商品142|固特异汽车用品商品584|3M汽车用品商品220|卡仕达汽车用品商品137
