rank,user_id,repurchase_probability,tier
1,U002606,0.937213,高潜力
2,U003751,0.916848,高潜力
3,U001048,0.912313,高潜力
4,U003293,0.908062,高潜力
5,U003408,0.905762,高潜力
6,U002315,0.895656,高潜力
7,U000070,0.89324,高潜力
8,U004379,0.892997,高潜力
9,U002987,0.892162,高潜力
10,U003786,0.891963,高潜力
11,U003147,0.89184,高潜力
12,U004344,0.891684,高潜力
13,U001509,0.889188,高潜力
14,U003937,0.887932,高潜力
15,U000875,0.887409,高潜力
16,U001742,0.887118,高潜力
17,U003248,0.88691,高潜力
18,U002242,0.886876,高潜力
19,U001876,0.88583,高潜力
20,U001342,0.884628,高潜力
21,U000851,0.884537,高潜力
22,U004840,0.884118,高潜力
23,U002063,0.882205,高潜力
24,U003421,0.882143,高潜力
25,U003322,0.88158,高潜力
26,U001576,0.880693,高潜力
27,U000018,0.879593,高潜力
28,U001081,0.878732,高潜力
29,U000088,0.87827,高潜力
30,U003541,0.877822,高潜力
31,U001627,0.876283,高潜力
32,U004994,0.875914,高潜力
33,U000234,0.874705,高潜力
34,U001658,0.87463,高潜力
35,U001619,0.873821,高潜力
36,U003050,0.873741,高潜力
37,U001741,0.873497,高潜力
38,U001907,0.87345,高潜力
39,U000091,0.873209,高潜力
40,U002833,0.873206,高潜力
41,U000140,0.873195,高潜力
42,U000552,0.872655,高潜力
43,U000535,0.871762,高潜力
44,U002391,0.87071,高潜力
45,U002217,0.870673,高潜力
46,U003611,0.870476,高潜力
47,U000154,0.870385,高潜力
48,U001430,0.870378,高潜力
49,U000261,0.869407,高潜力
50,U004848,0.869387,高潜力
51,U000620,0.869309,高潜力
52,U001109,0.86889,高潜力
53,U004637,0.868443,高潜力
54,U001075,0.868433,高潜力
55,U004928,0.867655,高潜力
56,U004776,0.867536,高潜力
57,U003027,0.866981,高潜力
58,U004533,0.866352,高潜力
59,U004170,0.866027,高潜力
60,U003191,0.865587,高潜力
61,U004271,0.864938,高潜力
62,U004456,0.864318,高潜力
63,U002137,0.864049,高潜力
64,U003479,0.863562,高潜力
65,U004064,0.863427,高潜力
66,U001373,0.863347,高潜力
67,U001914,0.863184,高潜力
68,U002093,0.862936,高潜力
69,U000173,0.862214,高潜力
70,U003362,0.861812,高潜力
71,U004701,0.861786,高潜力
72,U003759,0.860703,高潜力
73,U004188,0.86046,高潜力
74,U002104,0.860124,高潜力
75,U002960,0.859641,高潜力
76,U004430,0.859487,高潜力
77,U002862,0.859437,高潜力
78,U004647,0.859081,高潜力
79,U002835,0.858483,高潜力
80,U000445,0.858241,高潜力
81,U000669,0.85781,高潜力
82,U000343,0.857788,高潜力
83,U000363,0.857468,高潜力
84,U004670,0.857228,高潜力
85,U000045,0.855691,高潜力
